heuristic,points,jaccard_index,time,exceptions
CuttingLargerAngle,125,0.7316158976273618,63288,false
CuttingLargerAngle,130,0.8882777191415658,47094,false
CuttingLargerAngle,135,0.8555386079314881,48040,false
CuttingLargerAngle,140,0.815912183866756,121747,false
CuttingLargerAngle,145,0.9505571219432847,107068,false
CuttingLargerAngle,150,0.8628526645768025,162695,false
CuttingLargerAngle,155,0.83722311805143,72702,false
CuttingLargerAngle,160,0.8683480983915463,65387,false
CuttingLargerAngle,165,0.8708412588324967,88257,false
CuttingLargerAngle,170,0.8418924163098018,222145,false
CuttingLargerAngle,175,0.8952510268508775,102615,false
CuttingLargerAngle,180,0.9259063064531464,85986,false
CuttingLargerAngle,185,0.7523407531656882,61618,false
CuttingLargerAngle,190,0.8883055377017016,86882,false
CuttingLargerAngle,195,0.9083862633222091,64075,false
CuttingLargerAngle,200,0.8330106709835144,127184,false
CuttingLargerAngle,10,0.7143526822109897,29159,false
CuttingLargerAngle,15,0.9298297312643298,30531,false
CuttingLargerAngle,20,0.8316927344411488,34514,false
CuttingLargerAngle,25,0.7505130153075036,40901,false
CuttingLargerAngle,30,0.8176849042786902,36046,false
CuttingLargerAngle,35,0.8422877341433427,42365,false
CuttingLargerAngle,40,0.8047089114062591,63766,false
CuttingLargerAngle,45,0.850787657551094,71617,false
CuttingLargerAngle,50,0.8843801610745627,61823,false
CuttingLargerAngle,55,0.8808571813648411,29949,false
CuttingLargerAngle,60,0.907685617551743,61639,false
CuttingLargerAngle,65,0.781826079874026,52154,false
CuttingLargerAngle,70,0.850061048259479,132500,false
CuttingLargerAngle,75,0.7848510058992588,67762,false
CuttingLargerAngle,80,0.8627635366492711,85982,false
CuttingLargerAngle,85,0.8766696349065004,39603,false
CuttingLargerAngle,90,0.733684632611064,51100,false
CuttingLargerAngle,95,0.7980065156686317,131383,false
CuttingLargerAngle,100,0.8751084712024454,46407,false
CuttingLargerAngle,105,0.8536691082466153,49757,false
CuttingLargerAngle,110,0.9059455959470901,36042,false
CuttingLargerAngle,115,0.8869762943808774,54060,false
CuttingLargerAngle,120,0.916017208055365,37337,false
CuttingLargerAngle,125,0.8431950052594076,67068,false
CuttingLargerAngle,130,0.8136499941772447,109384,false
CuttingLargerAngle,135,0.8536275805816504,69377,false
CuttingLargerAngle,140,0.886378156747383,39923,false
CuttingLargerAngle,145,0.8869650220389592,47883,false
CuttingLargerAngle,150,0.8482228177696668,65444,false
CuttingLargerAngle,155,0.9020180970473777,55587,false
CuttingLargerAngle,160,0.8570262549313019,38850,false
CuttingLargerAngle,165,0.8582375868841782,60738,false
CuttingLargerAngle,170,0.8907138258380022,52969,false
CuttingLargerAngle,175,0.9693419858108335,35224,false
CuttingLargerAngle,180,0.8679708719028879,81228,false
CuttingLargerAngle,185,0.8814369806094183,36923,false
CuttingLargerAngle,190,0.8904406953354637,84074,false
CuttingLargerAngle,195,0.9134017105666679,101415,false
CuttingLargerAngle,200,0.8560667204735002,228976,false
CuttingLargerAngle,10,0.6139147555799429,20037,false
CuttingLargerAngle,15,0.6300486704936125,19224,false
CuttingLargerAngle,20,0.7726478420059913,19527,false
CuttingLargerAngle,25,0.7031227114274834,26863,false
CuttingLargerAngle,30,0.8063092161929372,37718,false
CuttingLargerAngle,35,0.9053760482405608,27347,false
CuttingLargerAngle,40,0.7213620595216359,34671,false
CuttingLargerAngle,45,0.6518019884009942,31239,false
CuttingLargerAngle,50,0.8797991006248905,37887,false
CuttingLargerAngle,55,0.7131599450454683,29664,false
CuttingLargerAngle,60,0.8725185362353504,31788,false
CuttingLargerAngle,65,0.8656232708876769,37417,false
CuttingLargerAngle,70,0.8820282777809324,38827,false
CuttingLargerAngle,75,0.775335299682787,90580,false
CuttingLargerAngle,80,0.8437709443264305,35145,false
CuttingLargerAngle,85,0.7550973474161287,58639,false
CuttingLargerAngle,90,0.8255176647876319,81444,false
CuttingLargerAngle,95,0.734477234023483,41607,false
CuttingLargerAngle,100,0.7725496905922947,37768,false
CuttingLargerAngle,105,0.8699720638669968,174322,false
CuttingLargerAngle,110,0.919016781944942,50081,false
CuttingLargerAngle,115,0.839458424815628,33860,false
CuttingLargerAngle,120,0.9156039765763312,57636,false
CuttingLargerAngle,125,0.9214486059294432,24688,false
CuttingLargerAngle,130,0.8364523330485352,36748,false
CuttingLargerAngle,135,0.9215534361973767,46093,false
CuttingLargerAngle,140,0.8330446699795507,49183,false
CuttingLargerAngle,145,0.8005048517489909,47798,false
CuttingLargerAngle,150,0.9268118411361863,35644,false
CuttingLargerAngle,155,0.8459682337655451,37747,false
CuttingLargerAngle,160,0.7921048177221082,34446,false
CuttingLargerAngle,165,0.8862086283149999,35394,false
CuttingLargerAngle,170,0.8606638491440818,54708,false
CuttingLargerAngle,175,0.8530283866972453,39445,false
CuttingLargerAngle,180,0.8759473065769757,27004,false
CuttingLargerAngle,185,0.8373128899583112,61479,false
CuttingLargerAngle,190,0.8717262681632298,46855,false
CuttingLargerAngle,195,0.850359595959596,98446,false
CuttingLargerAngle,200,0.8921375612616764,61262,false
CuttingLargerAngle2,10,0.6712797713288282,70397,false
CuttingLargerAngle2,15,0.7563461492830166,64094,false
CuttingLargerAngle2,20,0.7378729459096046,129762,false
CuttingLargerAngle2,25,0.8520152023752633,66397,false
CuttingLargerAngle2,30,0.7238147924584867,77411,false
CuttingLargerAngle2,35,0.9100132782684195,45307,false
CuttingLargerAngle2,40,0.8657010313294914,69771,false
CuttingLargerAngle2,45,0.8334252287408854,183060,false
CuttingLargerAngle2,50,0.7873047197651942,344076,false
CuttingLargerAngle2,55,0.7154848329137798,104062,false
CuttingLargerAngle2,60,0.6951991691009564,158908,false
CuttingLargerAngle2,65,0.7476269873820139,93660,false
CuttingLargerAngle2,70,0.8290886176245841,94644,false
CuttingLargerAngle2,75,0.8243225731097514,111420,false
CuttingLargerAngle2,80,0.7794618919740062,119331,false
CuttingLargerAngle2,85,0.7521538461538462,117868,false
CuttingLargerAngle2,90,0.7712216585498434,126773,false
CuttingLargerAngle2,95,0.7791392873719256,158606,false
CuttingLargerAngle2,100,0.8551657655276406,109387,false
CuttingLargerAngle2,105,0.8693861757553395,71070,false
CuttingLargerAngle2,110,0.7756451034024378,79907,false
CuttingLargerAngle2,115,0.8490393467164622,103550,false
CuttingLargerAngle2,120,0.8659902050292455,101170,false
CuttingLargerAngle2,125,0.6962644740563778,106856,false
CuttingLargerAngle2,130,0.8861140741367218,85052,false
CuttingLargerAngle2,135,0.8591852047270707,172753,false
CuttingLargerAngle2,140,0.7730561860949875,229742,false
CuttingLargerAngle2,145,0.9413317592119093,70356,false
CuttingLargerAngle2,150,0.8304356923220784,86597,false
CuttingLargerAngle2,155,0.7898324418488991,131691,false
CuttingLargerAngle2,160,0.8159820572648799,155713,false
CuttingLargerAngle2,165,0.8552208127789523,197451,false
CuttingLargerAngle2,170,0.7948095250385728,161652,false
CuttingLargerAngle2,175,0.9017643644649967,126966,false
CuttingLargerAngle2,180,0.919590844160056,166547,false
CuttingLargerAngle2,185,0.7481846076869851,135236,false
CuttingLargerAngle2,190,0.8566843112435214,81361,false
CuttingLargerAngle2,195,0.9020623623723898,100179,false
CuttingLargerAngle2,200,0.761752566941816,112134,false
CuttingLargerAngle2,10,0.7754809842768208,40478,false
CuttingLargerAngle2,15,0.9322294597333943,61173,false
CuttingLargerAngle2,20,0.8179050399124673,52430,false
CuttingLargerAngle2,25,0.7978461364928641,57797,false
CuttingLargerAngle2,30,0.8393108191609651,284291,false
CuttingLargerAngle2,35,0.8577673077783152,121118,false
CuttingLargerAngle2,40,0.7876002287623576,201891,false
CuttingLargerAngle2,45,0.8454772378082371,122645,false
CuttingLargerAngle2,50,0.8926233564361601,44048,false
CuttingLargerAngle2,55,0.8889897318646426,161552,false
CuttingLargerAngle2,60,0.8704417569787387,60641,false
CuttingLargerAngle2,65,0.7788095478102501,82892,false
CuttingLargerAngle2,70,0.8397408199943367,81386,false
CuttingLargerAngle2,75,0.7641755977280804,86919,false
CuttingLargerAngle2,80,0.8499159424451331,94608,false
CuttingLargerAngle2,85,0.8611434336189872,148545,false
CuttingLargerAngle2,90,0.7372221947486145,67704,false
CuttingLargerAngle2,95,0.7435987656486812,103401,false
CuttingLargerAngle2,100,0.8755156442780735,132971,false
CuttingLargerAngle2,105,0.8557080340061359,86815,false
CuttingLargerAngle2,110,0.9004260654287087,53268,false
