heuristic;points;hyperplane_budget;jaccard_index;time;exceptions
CuttingSmallerAngle;7;6;0.8579934043071202;30624;false
CuttingSmallerAngle2;7;6;0.9106558250053831;41548;false
CuttingLargerAngle;7;6;0.9992917376773423;27854;false
CuttingLargerAngle2;7;6;0.99556331959145;35696;false
DistanceFromG;7;6;0.9992917376773423;674880;false
CuttingEdges;7;6;0.9982753831790127;48148;false
LessArea;7;6;0.8932124376253913;464403;false
DistanceFromG2;7;6;0.9992917376773423;2158998;false
CuttingSmallerAngle;7;3;0.02972206797790572;64400;false
CuttingSmallerAngle2;7;3;1.1986783630798327E-4;74350;false
CuttingLargerAngle;7;3;0.5975148805174816;57896;false
CuttingLargerAngle2;7;3;0.6006522189660113;69247;false
DistanceFromG;7;3;0.5975148805174816;56138;false
CuttingEdges;7;3;0.45761888563847286;107921;false
LessArea;7;3;0.0;506867;false
DistanceFromG2;7;3;0.5975148805174816;255944;false
CuttingSmallerAngle;7;4;0.05725224303708683;31992;false
CuttingSmallerAngle2;7;4;0.02351136259130774;37373;false
CuttingLargerAngle;7;4;0.8513117261400278;27487;false
CuttingLargerAngle2;7;4;0.8689922883211836;34959;false
DistanceFromG;7;4;0.7095936717615999;133722;false
CuttingEdges;7;4;0.9163397979755383;68850;false
LessArea;7;4;0.5718741201748615;360540;false
DistanceFromG2;7;4;0.8513117261400278;455016;false
CuttingSmallerAngle;7;5;0.30651430575444955;49247;false
CuttingSmallerAngle2;7;5;0.2957424634002581;158838;false
CuttingLargerAngle;7;5;0.9259578572054826;70075;false
CuttingLargerAngle2;7;5;0.9278772913144518;53521;false
DistanceFromG;7;5;0.8548187548099873;456634;false
CuttingEdges;7;5;0.9787865394243815;73792;false
LessArea;7;5;0.9693434201997132;419616;false
DistanceFromG2;7;5;0.9427477569629131;488167;false
CuttingSmallerAngle;7;6;0.6661065162541037;31300;false
CuttingSmallerAngle2;7;6;0.709411759877594;66248;false
CuttingLargerAngle;7;6;0.9964929713300407;29978;false
CuttingLargerAngle2;7;6;0.9966281770394618;44529;false
DistanceFromG;7;6;0.9294648858754421;664408;false
CuttingEdges;7;6;0.997579892698857;55674;false
LessArea;7;6;0.981228361741941;435166;false
DistanceFromG2;7;6;0.9964929713300407;951024;false
CuttingSmallerAngle;7;3;0.02318580669954525;57382;false
CuttingSmallerAngle2;7;3;0.0;80641;false
CuttingLargerAngle;7;3;0.7436110933196695;87895;false
CuttingLargerAngle2;7;3;0.691334605252377;128396;false
DistanceFromG;7;3;0.7436110933196695;54628;false
CuttingEdges;7;3;0.8786567769765948;103131;false
LessArea;7;3;0.0;407765;false
DistanceFromG2;7;3;0.7436110933196695;259283;false
CuttingSmallerAngle;7;4;0.10420803176839813;53031;false
CuttingSmallerAngle2;7;4;0.01478780617542837;61317;false
CuttingLargerAngle;7;4;0.8756725164926664;51161;false
CuttingLargerAngle2;7;4;0.8945947301392472;59395;false
DistanceFromG;7;4;0.8756725164926664;127501;false
CuttingEdges;7;4;0.9438746757139392;73487;false
LessArea;7;4;0.8934432859042537;282193;false
DistanceFromG2;7;4;0.9052152052776532;471535;false
CuttingSmallerAngle;7;5;0.22377185678601166;44914;false
CuttingSmallerAngle2;7;5;0.16668486746069533;81945;false
CuttingLargerAngle;7;5;0.9732754755652341;75351;false
CuttingLargerAngle2;7;5;0.9788012729654422;80700;false
DistanceFromG;7;5;0.8929657977326587;361897;false
CuttingEdges;7;5;0.9888340232544464;62344;false
LessArea;7;5;0.9608571891230153;478136;false
DistanceFromG2;7;5;0.9084817139563185;572721;false
CuttingSmallerAngle;7;6;0.6510039710497663;30528;false
CuttingSmallerAngle2;7;6;0.6561927319910077;40383;false
CuttingLargerAngle;7;6;0.9827067187600077;26070;false
CuttingLargerAngle2;7;6;0.9874397967987618;38735;false
DistanceFromG;7;6;0.9456942932171908;648952;false
CuttingEdges;7;6;0.9950493242768559;43459;false
LessArea;7;6;0.9803972883763723;416832;false
DistanceFromG2;7;6;0.9768141933004547;843133;false
CuttingSmallerAngle;7;3;0.0050906722429810425;62370;false
CuttingSmallerAngle2;7;3;1.31474245560836E-4;79558;false
CuttingLargerAngle;7;3;0.4968547530081245;64241;false
CuttingLargerAngle2;7;3;0.5170114600289395;2933508;false
DistanceFromG;7;3;0.3765297727194817;109873;false
CuttingEdges;7;3;0.49572515304517367;122936;false
LessArea;7;3;0.4793389122534957;481341;false
DistanceFromG2;7;3;0.4968547530081245;424348;false
CuttingSmallerAngle;7;4;0.08927530766857496;70706;false
CuttingSmallerAngle2;7;4;0.01170680769468472;51141;false
CuttingLargerAngle;7;4;0.8733845257276062;51060;false
CuttingLargerAngle2;7;4;0.8824207098368029;62544;false
DistanceFromG;7;4;0.47217270576942855;82273;false
CuttingEdges;7;4;0.9257155166611218;107096;false
LessArea;7;4;0.5159331868177941;1131681;false
DistanceFromG2;7;4;0.850296527373076;380203;false
CuttingSmallerAngle;7;5;0.1266154742723938;79737;false
CuttingSmallerAngle2;7;5;0.13712381263521828;154998;false
CuttingLargerAngle;7;5;0.9854735867813925;42790;false
CuttingLargerAngle2;7;5;0.9845378302826036;54714;false
DistanceFromG;7;5;0.9171694491104179;341771;false
CuttingEdges;7;5;0.994934907785459;78069;false
LessArea;7;5;0.994934907785459;1148420;false
DistanceFromG2;7;5;0.9854735867813925;586305;false
CuttingSmallerAngle;7;6;0.6463868225292242;48385;false
CuttingSmallerAngle2;7;6;0.6710671146938748;68925;false
CuttingLargerAngle;7;6;0.9905642590243735;27117;false
CuttingLargerAngle2;7;6;0.9914961603989533;34229;false
DistanceFromG;7;6;0.9905642590243735;673524;false
CuttingEdges;7;6;0.9978094656513993;150789;false
LessArea;7;6;0.9971144205545109;864594;false
DistanceFromG2;7;6;0.9949093277570189;1228005;false
CuttingSmallerAngle;8;3;0.021706098192377822;103404;false
CuttingSmallerAngle2;8;3;0.004706860526376225;89478;false
CuttingLargerAngle;8;3;0.5141930981698669;66745;false
CuttingLargerAngle2;8;3;0.49668519017608953;80037;false
DistanceFromG;8;3;0.19872025752425546;51939;false
CuttingEdges;8;3;0.7799012564920044;129895;false
LessArea;8;3;0.780560682273967;783270;false
DistanceFromG2;8;3;0.5708810751187448;232724;false
CuttingSmallerAngle;8;4;0.050942079553384506;64802;false
CuttingSmallerAngle2;8;4;0.0038962257190221705;75333;false
CuttingLargerAngle;8;4;0.8508205209013349;57034;false
CuttingLargerAngle2;8;4;0.8564806220844989;73382;false
DistanceFromG;8;4;0.2836481102131779;129271;false
CuttingEdges;8;4;0.9298851810742886;81869;false
LessArea;8;4;0.7896862094358872;1019388;false
DistanceFromG2;8;4;0.8508205209013349;390070;false
CuttingSmallerAngle;8;5;0.10995993066654661;82411;false
CuttingSmallerAngle2;8;5;0.1306288626921668;103192;false
